AREAKEY,TRCTPOP9,MDFAMY9,MDVALHS9,TRCTPOP0,MDFAMY0,MDVALHS0,TRCTPOP1,MDFAMY1A,MDVALHS1A
36005033000,3948,28292,188800,5111,32218,204300,5696,51096,450500
36005033201,3576,32589,162500,4023,39085,225000,4115,65625,178900
36005033202,3613,32589,162500,4066,39085,225000,4167,26471,308100
36005033400,6,5360,0,194,31250,0,1351,28846,343800
36005033500,3739,76119,497666,2026,106715,881571,2178,122275,378800
36005033600,5951,21235,185000,6138,29552,270000,6188,31115,159800
36005033700,2376,58603,222949,3139,71141,265192,2357,118333,617600
36005033800,3769,30318,137500,3698,26618,159500,3818,49625,431100
36005034000,4091,28194,187500,4385,34250,184600,4618,42885,464600
36005034200,1481,41154,156300,1602,41635,188800,1675,73558,415900
36005034300,1505,50493,256900,1513,79423,292600,1649,77054,571800
36005034400,1239,43867,178400,1523,48207,183800,1736,48173,402300
36005034500,3455,53506,249810,3619,69083,287899,3566,84755,374500
36005034800,5521,27597,164204,5917,41461,185704,6129,50474,408100
36005035000,1684,50099,145400,2062,56000,176800,1925,68906,415900
36005035100,2050,60160,483300,3170,64250,687500,3186,113889,327200
36005035600,1667,43100,167600,1969,60724,162300,2027,81228,486300
36005035800,5310,48026,175600,6886,47965,184300,7166,72665,426700
36005035900,1302,17198,0,1391,31164,147900,2061,23945,460900
36005036000,2577,48238,159903,2815,60639,194571,2706,83523,469500
36005036100,5997,13165,0,6283,16645,218000,6019,18929,348500
36005036300,5560,10709,60000,6571,16975,107800,7509,23356,284000
36005036400,2177,35771,173000,2834,65625,174300,2557,70192,395300
36005036501,3102,15547,162500,3382,20972,264500,3965,33182,340900
36005036502,1773,4999,63900,1771,18152,154200,2423,31650,462100
36005036700,1350,17375,91100,2185,20703,225000,2599,23384,497400
36005036800,1386,32500,148100,1597,49444,180600,2011,66694,337600
36005036901,1574,9237,112500,1646,17150,208300,2005,18482,0
36005036902,1616,16719,156800,2311,17468,0,2119,43917,1000001
36005037000,2079,38676,159600,2083,54688,177400,2303,69352,415700
36005037100,4021,16735,119300,4305,21290,176600,4241,24447,353800
36005037200,1839,25300,163000,2152,46923,171600,2222,63375,376100
36005037300,3965,13696,87500,4631,25697,164600,5318,27905,315400
36005037400,3922,25271,156500,3519,27022,201700,3441,21895,475000
36005037504,3370,14925,91279,3413,20711,150970,3677,24821,333300
36005037600,2099,28542,120600,2333,29904,213900,2148,54706,453900
36005037800,2765,25096,183900,2859,35516,170800,3048,42907,419200
36005037900,5072,16788,94400,4993,24208,115900,5093,23511,356500
36005038000,4037,36741,0,3874,35424,191500,4585,39470,262500
36005038100,5934,14916,265000,6192,19000,183900,6382,33911,418100
36005038200,2149,43673,159553,2612,43179,179903,2596,47634,430100
36005038301,3979,16155,87500,4019,16574,108800,4797,27788,346200
36005038302,6073,16155,87500,6133,16574,108800,6106,22083,0
36005038500,3993,13469,89800,4071,15880,309100,4758,26250,518600
36005038600,6816,33154,153700,7123,39187,182400,7409,45716,439700
36005038700,2891,23558,177100,3132,18042,155100,3216,32188,380500
36005038800,1921,45809,130800,2634,47381,177800,2606,65345,388900
36005038900,3860,14759,261300,4558,24688,200000,5325,29144,444800
36005039000,1932,33144,141900,2583,47740,156300,2975,35833,442000
36005039100,5676,15932,180000,6372,20687,169500,6992,21308,455100
36005039200,1451,30121,155800,1604,38333,226100,1781,64526,439300
36005039300,7541,13106,67500,7731,15370,121400,8143,18898,615000
36005039400,4031,27241,93200,4453,33390,167700,4573,51172,425000
36005039500,2381,11263,62683,3210,16865,173474,4146,37537,361400
36005039600,3287,39911,137300,3316,31250,180900,3756,45750,369700
36005039700,3911,13331,137443,4012,19170,264591,3702,19662,0
36005039800,2579,39792,158700,2758,41474,182300,3090,62530,397300
36005039901,5621,19549,130600,5550,17274,159600,5228,18688,436500
36005039902,4902,19750,147500,4960,16591,112500,5279,25481,275000
36005040100,3919,22849,112500,5302,26399,85000,4593,33906,382100
36005040302,4548,21314,0,4472,20776,0,4386,21372,0
36005040303,4293,19827,98200,4820,25770,209500,4478,29980,320000
36005040304,3329,19827,98200,3738,25770,209500,3794,38333,330500
36005040400,2324,45034,159100,2990,44531,179900,3016,60486,452500
36005040501,3940,21159,162500,4079,25688,170400,4397,32454,419400
36005040502,6858,21159,162500,7099,25688,170400,6863,28175,360300
36005040600,3249,27560,125000,3398,32004,180800,3490,55114,426900
36005040701,3075,20833,0,3309,22607,0,3347,28438,0
36005040702,5652,27922,173600,6718,31235,150500,6652,41201,342300
36005040800,3662,31250,162500,4014,29850,159400,4263,41010,431900
36005040900,3118,39731,112500,3626,48571,225000,3637,54886,33000
36005041100,2159,36333,112500,2481,37303,275000,2931,45490,164800
36005041300,6294,31597,162500,7515,32302,119400,7384,44265,169300
36005041400,4167,38750,163100,5011,35688,188500,5027,48960,414700
36005041500,4921,32018,180500,5635,36417,204200,5461,39773,407600
36005041800,3213,30773,158100,3564,46279,200900,3598,47569,450800
36005041900,5983,32733,261400,6837,24563,337500,6734,36250,248100
36005042000,2989,24243,204200,3788,28278,195000,3850,62560,374200
36005042100,6038,28493,0,6831,32188,0,5922,46133,146700
36005042200,2613,40774,161100,2712,39474,168100,3086,39286,411700
36005042300,3212,29371,73780,3863,35911,42895,4100,42407,475000
36005042400,1888,45833,151000,2517,53571,172300,2481,71806,358700
36005042500,5233,31142,138900,6530,27073,162500,6793,31194,476900
36005042600,5080,51966,171500,6470,58679,188900,6387,68684,464000
36005042800,2016,51152,164300,2275,66214,188500,2173,81411,403200
36005042901,3152,31549,151952,3521,27788,85477,3420,29688,311100
36005042902,2896,25938,137500,3349,36250,268900,3845,34479,365600
36005043000,2720,40000,164500,3124,55333,192600,2898,54621,393400
36005043100,9319,26972,1,9816,27832,0,9680,37113,311300
36005043400,3079,39312,170577,3502,39839,211801,3592,48737,493000
36005043500,52,60342,187500,46,80488,0,39,0,312500
36005043600,1677,56542,145700,2276,59868,188100,2032,57713,363400
36005044200,3076,39625,164800,3806,44000,186100,3555,44235,373600
36005044400,3107,41669,158590,4025,61252,176457,3878,73664,405100
36005044800,1538,55572,157100,1760,66287,181100,2026,92515,385400
36005044901,1904,51358,212000,1993,60592,227600,1818,88015,425000
36005044902,2210,46366,188900,2041,58333,212100,1949,92371,439100
36005045101,1901,44263,123600,1783,66667,194600,1656,57214,386500
36005045102,2019,48523,186652,1953,52195,203245,1894,92600,435400
36005045600,2504,49267,171878,2828,68019,205464,2896,75946,473000
36005045800,6852,20824,0,7329,13951,0,6123,27313,0
36005046000,2648,34706,188500,2746,35903,193800,2741,39129,374300
36005046201,24539,39799,135270,24834,52801,114816,26588,65925,70300
36005046202,5130,30191,156984,7320,43294,175938,8277,45682,388400
36005048400,2331,57944,154800,3801,62396,176600,3598,73700,408900
36005050400,0,0,0,0,0,0,39,0,0
36005051600,4081,57815,209800,4520,73750,273100,4362,72109,578600
36047000100,3550,65864,495836,5311,112010,578441,4338,127330,457000
36047000200,1019,10208,0,1309,32174,0,1470,68661,481500
36047000301,5926,94216,494756,5101,144248,989511,4259,227143,807100
36047000501,2780,77086,500001,2812,145502,1000001,4247,138917,494900
36047000502,3215,77086,500001,3252,145502,1000001,2512,129167,554700
36047000700,2717,94798,497368,3668,151958,994735,3359,173393,1000001
36047000900,1823,101557,500001,2173,125886,775000,4172,177863,626000
